Canada,France,USA,Germany,Japan,UK,Date,Year
1.07,6.409274999999999,8.620032460004635,13.961647499999998,5.944145606306515,46.87923399197892,2012-01-01,2012
0.98,5.839535700000001,7.402125996204934,13.713762,6.073539278937383,49.98847057579403,2012-02-01,2012
0.94,5.589119999999999,7.480528846153847,13.76944,5.8641826923076925,46.69010424242425,2012-03-01,2012
1.0,4.8252375,10.22543126684636,13.0860441,5.919986522911053,46.94189356181796,2012-04-01,2012
0.91,4.4084075,12.990896019373393,11.013877,5.296590737097018,38.4458241201796,2012-05-01,2012
0.98,4.8092646000000006,13.840611913650385,11.659172199999999,6.042937834767084,39.90549839478261,2012-06-01,2012
1.14,5.573143,11.7157791898332,13.192775,4.8049007148530585,44.69658950297472,2012-07-01,2012
1.08,4.937856,10.67906976744186,12.08592,4.4379248658318415,51.85791032888889,2012-08-01,2012
1.27,6.2971941,10.357150107049401,13.173785,4.208211085560223,56.08067856196164,2012-09-01,2012
1.77,8.1638815,11.981366777976234,14.934392999999998,3.934767414770521,61.12668158474258,2012-10-01,2012
1.81,9.1405512,12.88403930635838,16.548444,4.377974566473989,65.76762449393014,2012-11-01,2012
1.75,9.0328,13.414754350839365,18.375296,4.21322655167103,66.55026487715837,2012-12-01,2012
2.44,10.5345603,14.218308321964534,19.2128625,3.922978626648477,68.60687742090431,2013-01-01,2013
2.41,11.1059728,13.423109791849894,21.069165,4.127881119906186,64.66703223407218,2013-02-01,2013
3.03,9.889632,17.540452043307692,20.471269500000002,4.341184615384615,69.30092735804324,2013-03-01,2013
3.0,10.0209616,17.18507614213198,19.765878,4.321690745802422,66.00612218543047,2013-04-01,2013
2.05,9.9242843,17.75951728886169,21.9732176787,4.447460220318238,78.93829146950134,2013-05-01,2013
2.41,9.258712800000001,16.96034753190835,20.950323,4.276238659080423,76.57090751572656,2013-06-01,2013
2.18,8.3463404,20.35482856485388,20.639570000000003,4.38654445041037,81.06100429921167,2013-07-01,2013
2.81,7.762285,16.641039588999696,18.407315,4.252938954366877,73.25732188794294,2013-08-01,2013
3.53,10.255502400000001,19.964227129882886,20.088744000000002,4.517222516055912,82.10819317852334,2013-09-01,2013
5.73,10.764702000000002,22.63133584462152,19.916793,4.274922532093846,87.16469071060516,2013-10-01,2013
7.56,10.740341399999998,24.483181044057762,22.510077,4.212608663457979,94.71389809865893,2013-11-01,2013
7.41,10.9192884,26.702556755565357,22.195548000000002,4.145505840864007,110.27250054686282,2013-12-01,2013
7.81,12.5172972,35.69081541070263,25.9163229671,4.425448480893337,118.59469937855343,2014-01-01,2014
5.98,15.1385655,41.34269236460492,28.4311505131,4.903357502219592,128.3724872200645,2014-02-01,2014
5.53,16.754487,40.69110036096431,29.201333964299998,4.747295301527546,119.81331968096822,2014-03-01,2014
7.58,15.7972965,38.76010659898478,27.555728000000002,4.741398839738941,117.26125432416788,2014-04-01,2014
8.85,16.9911335,44.048415884476526,29.394585,4.793116967509025,122.82133552952614,2014-05-01,2014
9.53,13.568349,46.55289081024472,23.120160000000002,5.093077092672889,118.83127699053007,2014-06-01,2014
9.61,11.790672100000002,41.40158685169492,19.364242500000003,5.200508474576272,103.26286989926076,2014-07-01,2014
8.49,11.652387,42.47919482157522,19.2816125,5.2115677491601335,108.46601474500693,2014-08-01,2014
8.55,10.5910784,38.540903068605814,17.839633000000006,4.975122211223637,113.91938333109778,2014-09-01,2014
9.3,9.5226165,46.38955976529397,16.669880999999997,5.306472268507498,117.89613650308401,2014-10-01,2014
11.18,11.968112,54.71443515490258,20.26926,5.580804854679017,131.69689341408986,2014-11-01,2014
11.87,11.3192332,61.13106136923571,19.656579,5.68793568048761,131.81984640973886,2014-12-01,2014
11.75,11.035236099999999,56.84968850391238,21.1718465,6.405435301869699,150.43810745859543,2015-01-01,2015
12.34,10.160736199999999,60.68745941141086,18.76313,6.955618752764263,164.37644974011445,2015-02-01,2015
12.39,11.453508,65.71673363033807,18.30546,6.810733985765125,167.5980666529266,2015-03-01,2015
11.52,10.510272,61.207744642677824,16.903679999999998,7.199419804741981,166.68292691283457,2015-04-01,2015
13.76,10.165268,50.92711426839056,17.2544,6.622808738296924,159.5502890986652,2015-05-01,2015
13.21,8.612622700000001,49.89945233251096,15.8128245,6.771533260233919,146.85095325533544,2015-06-01,2015
11.77,9.057153,50.222538035675676,17.16897,7.9779945945945965,162.68717026274598,2015-07-01,2015
11.23,8.840717999999999,50.862022430929144,15.533505000000002,7.894182547642928,173.24077639965915,2015-08-01,2015
10.73,9.255288,51.34020200356,18.458579999999998,7.50997508009968,176.58712524890828,2015-09-01,2015
10.76,9.8724129,61.32966868098271,19.875057,8.027790728951851,180.86445882530202,2015-10-01,2015
10.43,9.158965,54.36043123990197,19.6895975,7.5361532177543795,169.5809438749652,2015-11-01,2015
10.21,9.910836,56.405402996603776,20.562867,7.591754716981133,179.4293680753269,2015-12-01,2015
7.85,11.1722356,54.13547076623496,20.353694,8.191825112519519,170.45373328537366,2016-01-01,2016
7.22,12.8033682,57.45801176038221,21.026260500000006,8.156234840132305,147.19810239250987,2016-02-01,2016
8.96,12.2913038,55.445728532192796,20.879929500000003,7.7199494113318625,138.04759506491,2016-03-01,2016
9.33,11.6649808,45.19531535216935,20.196264000000006,7.4391829951014685,125.64184097709352,2016-04-01,2016
9.63,10.343064000000002,39.97774796106288,17.993217,7.366629834254144,133.05036178250558,2016-05-01,2016
8.89,8.3446506,36.95450558564525,15.359057999999996,7.50577232862001,102.1590313014814,2016-06-01,2016
8.99,7.46841,45.87741356084418,15.29657,7.314539739559947,107.04282931528091,2016-07-01,2016
8.96,7.1811801000000015,47.42996107246507,15.2361215,7.199424041562165,114.90491517246274,2016-08-01,2016
10.6,6.999442200000002,48.066638671631075,14.494977,7.247414319038218,117.66319618893516,2016-09-01,2016
12.65,8.164702,53.437323772063436,17.106505000000002,7.6339037720634355,105.2535881142353,2016-10-01,2016
13.5,7.496097000000002,62.04636601088436,18.007425,7.615510204081635,107.91274971776474,2016-11-01,2016
13.67,7.367775999999999,62.56380782535052,17.472479999999994,7.343107179824973,120.11309110799307,2016-12-01,2016
13.37,6.947863600000002,59.559719191727545,17.500898000000007,7.954755715776493,119.58038575953651,2017-01-01,2017
13.38,9.3688662,60.56876126941613,19.496151,7.708276181649675,116.93748826757825,2017-02-01,2017
13.8,9.9684312,56.39999866666668,21.34688,8.4,113.38828303869082,2017-03-01,2017
12.99,11.0054475,56.86785948321018,22.59576,8.125886259470581,118.2331914392248,2017-04-01,2017
17.799999,14.98857,66.05551143641354,25.793763,8.814678865507776,129.2372720317735,2017-05-01,2017
17.379998999999998,18.921017499999998,67.97393707104021,30.1963359845,9.604425528121938,117.68775695288319,2017-06-01,2017
19.83,16.906647500000002,65.34835131572031,26.871736021500002,8.952361549246406,119.40552500199014,2017-07-01,2017
23.34,18.907571,55.8189476357941,31.050859000000003,9.394650355570606,124.25446681697227,2017-08-01,2017
26.24,19.78322,59.08361826006712,34.86533000000001,9.903255033557047,123.39090707032312,2017-09-01,2017
25.559998999999998,19.754015,58.245412502117546,40.24238,9.60389971201084,137.36264675780808,2017-10-01,2017
24.59,17.900776999999994,65.1604521160868,43.2645834986,10.272869445401307,140.6544098323511,2017-11-01,2017
25.879998999999998,20.778758,66.98451953714769,47.004670469900006,10.698469499368954,158.8419097730239,2017-12-01,2017
23.91,18.813789,68.1162744934545,43.222086,10.408046360376886,164.03743949764998,2018-01-01,2018
27.059998999999998,15.004204799999998,66.82952082831687,42.39117753479999,10.064464242716108,162.70196820521025,2018-02-01,2018
26.77,14.104254000000001,66.8294983440966,40.6064775654,9.852077890066552,163.97694624740168,2018-03-01,2018
25.24,12.935351,55.38287070854639,38.418215,10.320590861131402,181.47977720596643,2018-04-01,2018
22.969998999999998,10.5872104,56.02274157976653,36.13515,10.33216822584651,186.479455443156,2018-05-01,2018
21.25,10.5751728,49.257888838632276,31.19252,9.381837346816349,172.82984853284668,2018-06-01,2018
23.530001000000002,12.060202,52.37405176205181,37.0608,9.748938068279292,169.86447302048418,2018-07-01,2018
26.82,12.550344,52.71467852257182,34.254518999999995,9.258926983584134,144.76225434400268,2018-08-01,2018
27.6,13.630262400000001,53.891115817011425,32.146271999999996,9.323045232168914,149.30794433340762,2018-09-01,2018
24.98,12.726152,44.936618105635006,26.403792,8.556915388592106,129.9056189041065,2018-10-01,2018
29.0,15.172272,52.53617484420258,32.0436,9.484244711665056,114.0054919260998,2018-11-01,2018
25.959999,14.329968,42.730414219209436,29.778521511599997,9.608021832907829,111.21033043607132,2018-12-01,2018
29.67,17.1655,48.75029257641921,34.424628439500005,9.75823580786026,123.6076423440242,2019-01-01,2019
33.110001000000004,16.3639125,46.82436274736292,33.843376507500004,10.066646325516519,85.62334307584655,2019-02-01,2019
32.209998999999996,15.008427500000002,41.77097074584907,29.2907629971,9.758835104981113,79.32406153103481,2019-03-01,2019
32.16,15.456179999999998,45.64836952652189,32.292912,9.38876646493414,93.03146619370052,2019-04-01,2019
39.900002,11.66202,36.59228472098414,25.7028734925,8.788598680691747,76.87812683772378,2019-05-01,2019
39.689999,12.775198,44.202328501031296,22.778305000000003,8.797089947089948,78.11672734319508,2019-06-01,2019
45.41,14.0097184,39.96490087232355,21.369875,8.841792228390167,79.37718413005194,2019-07-01,2019
44.75,14.959749,34.8082454831929,20.413596,9.062580411343662,77.13524041623698,2019-08-01,2019
43.209998999999996,14.0746116,35.821515525733965,21.371364,8.912212758245742,91.96022145729587,2019-09-01,2019
46.900002,15.442455000000002,39.901628329418244,22.487397,8.893576803083132,101.40849762351752,2019-10-01,2019
50.049999,15.680376,37.881378938863456,25.282402531800003,9.239682197683814,113.36095824597712,2019-11-01,2019
48.509997999999996,14.5029336,38.16513567656165,23.981574,8.676313968311781,104.14340567767674,2019-12-01,2019
44.330002,12.2506416,34.87718711055724,20.189034,8.186523055011573,84.5719516248237,2020-01-01,2020
34.25,10.104331599999998,25.212118654813608,17.098962999999998,6.736466702859211,64.80298467312147,2020-02-01,2020
15.75,7.5231186,16.387704290789834,12.634943400000001,6.802443290516535,37.86462332086972,2020-03-01,2020
20.24,7.249784700000001,17.13313917337235,12.727295800000002,6.419577542062912,34.36016901752204,2020-04-01,2020
15.9,6.1257851,14.555764987127619,13.783393400000001,6.543162927546892,44.82669768011046,2020-05-01,2020
16.950001,6.1414524,17.90481827995682,13.616877599999999,6.301619287513494,37.961335798735405,2020-06-01,2020
15.11,5.309211299999999,15.108307142857141,11.3792726,5.434642857142856,28.821879754727416,2020-07-01,2020
17.6,6.0030848,17.510879473328835,13.878954000000002,6.977515192437543,34.799326094411065,2020-08-01,2020
15.69,4.6207199999999995,15.994327187786766,11.4816,6.246767331275548,28.739313958616012,2020-09-01,2020
14.73,4.388096,14.988808713410485,11.512115199999998,5.7802586793737225,30.84843951985715,2020-10-01,2020
24.700001,7.778,18.79007351684049,15.0053176,6.4495298341596845,51.649789686058895,2020-11-01,2020
22.77,7.947264,20.45303643048128,16.787043,5.732556818181817,47.75714470745451,2020-12-01,2020
20.02,7.627340699999999,21.874224594572567,16.641328499999997,5.618248716486024,57.878590273405784,2021-01-01,2021
25.1,8.631397199999999,26.8144302775571,19.009809,6.172184707050646,74.0666097782313,2021-02-01,2021
26.15,7.783630400000002,30.28694930722641,17.267257,6.120751680079647,64.5124700670071,2021-03-01,2021
24.77,6.855253200000001,27.343233884982123,15.878280599999998,5.954581134003066,72.73002308644874,2021-04-01,2021
27.360001,6.862208400000001,29.761311041218338,15.8397452,5.893328919053137,71.45874721342805,2021-05-01,2021
25.5,5.986156000000001,25.51792763124745,13.957892,5.71476482617587,62.36179386081012,2021-06-01,2021
24.98,5.7601462,25.2057577669135,14.0336504,5.862379670144732,57.48786663466344,2021-07-01,2021
24.51,5.8350495,24.803006878395426,12.5501635,5.970633252039358,54.21437964740428,2021-08-01,2021
23.129998999999998,6.2982806999999985,25.8371058644326,8.8366381,6.371138190742152,55.268330818163825,2021-09-01,2021
22.190001000000002,5.982086000000002,24.327725405,8.395497599999999,5.866529310344827,49.47209554831704,2021-10-01,2021
20.799999,5.2644375000000005,21.887136321039904,7.679632499999999,4.949041285196062,39.46467462902749,2021-11-01,2021
21.129998999999998,5.5870143,23.91796918467939,8.919594,5.566654607940672,45.86298000000001,2021-12-01,2021
22.860001,5.721217500000001,20.929957231767613,9.7973151,5.057755606568956,51.72902061134384,2022-01-01,2022
23.950001,5.6495349,21.905661634103023,9.8291326,5.562133214920071,49.1486400032336,2022-02-01,2022
24.25,5.7962852,23.148494893388282,10.4174564,5.238536104640745,48.70052827470285,2022-03-01,2022
22.5,5.458497,23.445516648570393,9.8747165,4.809016467607673,44.969404004991375,2022-04-01,2022
22.190001000000002,2.4146661,22.76305819981024,9.1645876,5.05704174573055,35.87392382132811,2022-05-01,2022
16.040001,1.5126479999999998,16.88640680112146,7.5314304000000005,4.78093063217871,24.51828366095963,2022-06-01,2022
17.389999,1.8119756,17.743435971223022,8.087104799999999,4.710875779376499,24.52439756255193,2022-07-01,2022
17.690001000000002,1.9136726,16.598968044561712,7.760606,4.9068542949281735,23.878931899641575,2022-08-01,2022
16.6,1.71262845,15.849136345461815,7.793414200000001,4.962727908836466,18.800238802863323,2022-09-01,2022
19.610001,1.78434315,19.493863356585965,9.304314300000001,5.512721583914648,23.311365798414496,2022-10-01,2022
19.290001,1.72739925,19.53932542475118,10.313213300000001,5.768366341610536,26.591172232680282,2022-11-01,2022
19.389999,1.7306629,17.106416682609524,10.916813499999998,5.7155873349913895,24.93108557428688,2022-12-01,2022
22.58,2.235312,21.850889326832924,14.022684,6.065179073692106,31.299989852637754,2023-01-01,2023
20.120001000000002,2.5682873,21.278307325133106,14.247793199999998,5.446074903616671,30.477809371924938,2023-02-01,2023
